system:index,fecha,precipitacion_mm,temperatura_C,.geo
63,2022-04,64.47270889123118,6.218229703937977,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,2022-05,65.6556016290824,5.250097263322016,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,2022-06,33.236576097505456,4.155294963254811,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,2022-07,30.338307400383073,5.21968533800303,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,2022-08,29.872276998370047,4.6060357011861015,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,2022-09,103.82539555374497,5.5042375348621215,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,2022-10,45.328348081572976,6.2319915254671745,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,2022-11,77.05625473513318,6.760397206648996,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,2022-12,403.7224474712602,6.121950635892507,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,2023-01,126.73320627788497,6.245562127160996,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,2023-02,243.34003385930808,6.002965379440969,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,2023-03,208.83695956363158,6.127642596574927,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,2023-04,123.8036777983131,5.96179204724316,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,2023-05,167.30349599145674,5.0094530583767005,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,2023-06,16.971516433059847,4.454774199370731,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,2023-07,20.955584126081142,5.449511203262008,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,2023-08,25.68359345642943,5.328869626654448,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,2023-09,85.62326898402597,6.064883718686175,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,2023-10,108.19667258772773,7.303140912414777,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,2023-11,124.89991565210856,7.215768941753012,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,2023-12,272.31104442000026,7.512073823380658,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,2024-01,173.12976860884788,7.62163887371401,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,2024-02,268.20887049985856,7.43383264889817,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,2024-03,247.7870528406229,7.476891541911453,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,2024-04,87.07970657824005,7.535513278736581,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,2024-05,142.07630815246836,6.622822531470099,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,2024-06,24.362318587695594,5.507865581720881,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,2024-07,17.863446525185612,4.755643906245497,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,2024-08,17.4316543162264,5.551547374163365,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,2024-09,74.50162341012683,6.216881751789823,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,2024-10,76.97302607908122,6.87103463984898,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,2024-11,260.34594997798837,7.187701533024911,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,2024-12,196.9622268083917,6.873712119646994,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,2025-01,216.14476807965548,6.246938418121964,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,2025-02,247.61407579027463,6.364621925198201,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,2025-03,288.0673311604179,6.456093066539011,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,2025-04,184.36096965064095,6.168596795410489,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,2025-05,197.3335797283687,5.598361467316287,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,2025-06,21.31687776342256,4.524901389687069,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,2025-07,23.470254753522546,4.065057992154031,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,2025-08,36.52276583837591,4.656553527938179,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,2025-09,91.13461905397236,5.458768152869856,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,2025-10,110.93484275332878,5.874217586153798,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,2025-11,174.0115859870578,6.631462595002588,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,2025-12,251.90637846260708,6.7860561908622286,"{""type"":""MultiPoint"",""coordinates"":[]}"
